Business_Name,Phone,Website,City,State,Zipcode,Lead_Source,Status,Submission_Date,Import_Date,Enrichment_Method
"""Together, We'll Make It Happen!""",+19738182251,https://Ellen-anolik.weichert.com,New York City,New York,07043,Facebook,Imported,2026-01-03 14:34:08,2026-01-09T21:02:49.790Z,Web Scraping
"Residential &amp; Commercial Local Handyman Services in Atlanta, GA",+16783920123,https://www.conyershandyman.com,Stockbridge,Georgia,30016,Facebook,Imported,2026-01-03 13:37:36,2026-01-09T21:02:49.790Z,Web Scraping
Unlock It Today,+11440655886,https://Unlockittoday.com,Cleveland,Ohio,44111,Facebook,Imported,2026-01-03 07:57:09,2026-01-09T21:02:49.790Z,Web Scraping
Pest Control Company,+15174848500,https://bugmanmi.com,Fenton,Michigan,48854,Facebook,Imported,2026-01-02 23:35:42,2026-01-09T21:02:49.790Z,Web Scraping
P2L Playhouse,+17025151430,https://www.p2lplayhouse.com,Las Vegas,Nevada,89166,Facebook,Imported,2026-01-02 17:24:10,2026-01-09T21:02:49.790Z,Web Scraping
Sugar Girls Couture Boutique,+18702930105,https://Shopsugargirls.com,El Paso,Texas,71603,Facebook,Imported,2026-01-02 16:44:56,2026-01-09T21:02:49.790Z,Web Scraping
Quality Movers El Paso,+19157453501,https://Qualitymoverselpaso.com,El Paso,Texas,79901,Facebook,Imported,2026-01-02 16:37:28,2026-01-09T21:02:49.790Z,Web Scraping
NPM Business Coaching,+18627578559,https://npmbusinesscoaching.com,Princeton Junction,New Jersey,07073,Facebook,Imported,2026-01-02 16:20:49,2026-01-09T21:02:49.790Z,Web Scraping
Lynchburglegacy,+14342661214,https://Lynchburglegacy.com,Lynchburg,Virginia,24502,Facebook,Imported,2026-01-02 15:57:53,2026-01-09T21:02:49.790Z,Web Scraping
"GTL Management, Inc. : Welcome to our website!",+14074023840,https://www.gtlmgmt.com,Orlando,Florida,32713,Facebook,Imported,2026-01-02 15:32:43,2026-01-09T21:02:49.790Z,Web Scraping
kimbals,+17604086866,https://Kimbals.com,Burbank,California,92262,Facebook,Imported,2026-01-02 14:56:56,2026-01-09T21:02:49.790Z,Web Scraping
"Forestry Mulching and Tree Services Logansport, IN",+15747020499,https://Indianamulching.com,Chicago,Illinois,46978,Facebook,Imported,2026-01-02 13:02:03,2026-01-09T21:02:49.790Z,Web Scraping
Top Luxury Palm Beach Realtors,+15613716224,https://RinaldiRealEstate.com,Miami,Florida,33404,Facebook,Imported,2026-01-02 12:52:41,2026-01-09T21:02:49.790Z,Web Scraping
Local Delivery Service,+18023917657,https://tratransport.com,Windsor,Connecticut,05495,Facebook,Imported,2026-01-02 12:45:26,2026-01-09T21:02:49.790Z,Web Scraping
Lynn Haven Beef 'O' Brady's Restaurant,+18502710064,https://www.beefobradys.com/lynnhaven,Lynn Haven,Florida,32444,Facebook,Imported,2026-01-02 12:21:49,2026-01-09T21:02:49.790Z,Web Scraping
Gear Heads On The Go LLC,+18645244091,https://www.ghotgllc.shop,Charlotte,North Carolina,29340,Facebook,Imported,2026-01-01 15:21:00,2026-01-09T21:02:49.790Z,Web Scraping
"Home Improvement Services Nassau County, NY",+15165819146,https://Isahomeimprovement.com,New York City,New York,11520,Facebook,Imported,2026-01-01 14:58:05,2026-01-09T21:02:49.790Z,Web Scraping
Toy Box Puppies,+15735395969,https://www.toyboxpuppies.com,Versailles,Missouri,65011,Facebook,Imported,2026-01-01 14:52:04,2026-01-09T21:02:49.790Z,Web Scraping
We Buy Junk Cars Macon,+14783301971,https://Junkcarzz.com,Atlanta,Georgia,31206,Facebook,Imported,2026-01-01 14:01:20,2026-01-09T21:02:49.790Z,Web Scraping
Welcome to AutomatedLeadSoftware,+16039602774,https://Automatedleadsoftware.net,Boston,Massachusetts,03266,Facebook,Imported,2026-01-01 13:22:10,2026-01-09T21:02:49.790Z,Web Scraping
Hello,+12514752953,https://hellohomecleaning.base44.app/home,Baton Rouge,Louisiana,36551,Facebook,Imported,2026-01-01 13:03:38,2026-01-09T21:02:49.790Z,Web Scraping
Soothing Comfort Massage,+15083953865,https://soothingcomfort.massagetherapy.com,Worcester,Massachusetts,01702,Facebook,Imported,2026-01-01 12:48:54,2026-01-09T21:02:49.790Z,Web Scraping
Top Electrician Services &amp; Home Standby Generators,+17709980060,https://electric-company.com,Woodstock,Georgia,30188,Facebook,Imported,2026-01-01 11:23:31,2026-01-09T21:02:49.790Z,Web Scraping
Quality Movers El Paso,+19157453501,https://Qualitymoverselpaso.com,El Paso,Texas,79901,Facebook,Imported,2026-01-01 09:40:58,2026-01-09T21:02:49.790Z,Web Scraping
Concho Hearts Hospice,+13254820129,https://conchoheartshospice.com,Vidor,Texas,77632,Facebook,Imported,2026-01-01 01:56:16,2026-01-09T21:02:49.790Z,Web Scraping